                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.68415,                0.58638,                 1.2088,                0.87227,                0.63768,                 1.2029,                0.84744,                0.79573,                0.83481,                0.47429,                 1.3705,                0.73233,                 1.6841,                 1.5295,                0.82202,                 1.6105,               0.000406,               0.000406,               0.000406
                     93,                0.68858,                0.58207,                 1.2109,                0.87353,                0.63071,                 1.2047,                0.86428,                0.79932,                0.84867,                0.47647,                 1.4203,                0.72901,                 1.6876,                 1.5837,                0.82646,                 1.6201,              0.0003994,              0.0003994,              0.0003994
                     94,                0.69121,                0.59388,                 1.2118,                0.86076,                0.63701,                 1.2047,                0.86626,                0.79736,                0.85424,                0.48255,                 1.4107,                 0.7213,                 1.6722,                 1.6108,                0.77792,                  1.641,              0.0003928,              0.0003928,              0.0003928
                     95,                0.67833,                0.58108,                 1.2041,                0.85829,                 0.6164,                 1.1994,                0.87904,                0.78901,                0.85741,                0.48125,                 1.3697,                0.71784,                 1.6421,                 1.5475,                0.79233,                 1.5952,              0.0003862,              0.0003862,              0.0003862
                     96,                0.68982,                0.58226,                 1.2041,                0.88321,                0.62233,                 1.1985,                0.87959,                0.77253,                0.85189,                0.48347,                 1.3846,                0.71793,                 1.6854,                 1.5717,                0.82361,                 1.6189,              0.0003796,              0.0003796,              0.0003796
                     97,                0.68409,                0.57499,                 1.2011,                0.87215,                0.61486,                 1.1979,                 0.8596,                0.78581,                0.85128,                0.48292,                 1.3827,                0.71555,                 1.6931,                 1.5649,                0.80726,                 1.6276,               0.000373,               0.000373,               0.000373
                     98,                0.68166,                0.58425,                 1.2052,                0.86792,                0.63139,                 1.1994,                0.86455,                0.79478,                0.85567,                0.48243,                 1.3875,                0.72487,                 1.7058,                 1.5674,                0.83942,                 1.6286,              0.0003664,              0.0003664,              0.0003664
                     99,                0.65493,                0.56985,                 1.2011,                 0.8295,                0.60967,                 1.1984,                0.86563,                0.78331,                0.85181,                0.47931,                 1.4197,                0.71628,                 1.6985,                  1.605,                 0.7735,                 1.6567,              0.0003598,              0.0003598,              0.0003598
                    100,                 0.6663,                0.56703,                 1.1886,                 0.8469,                0.60805,                 1.1863,                0.88525,                0.78036,                0.85089,                0.47701,                 1.4168,                0.72339,                 1.6989,                 1.6205,                0.78893,                 1.6572,              0.0003532,              0.0003532,              0.0003532
                    101,                0.66735,                0.56545,                 1.1891,                0.83495,                 0.6003,                 1.1807,                0.86798,                0.80063,                0.85679,                0.48529,                 1.3966,                0.70869,                 1.6978,                 1.5873,                0.77438,                  1.648,              0.0003466,              0.0003466,              0.0003466
